date,precipitation_sum_mm,wind_speed_max_kmh,port
2021-07-18,0.3,25.4,Sagar-Sandheads
2021-07-19,1.5,22.9,Sagar-Sandheads
2021-07-20,0.7,21.4,Sagar-Sandheads
2021-07-21,8.7,12.9,Sagar-Sandheads
2021-07-22,17.5,22.1,Sagar-Sandheads
2021-07-23,19.1,28.5,Sagar-Sandheads
2021-07-24,17.8,28.0,Sagar-Sandheads
2021-07-25,11.0,20.9,Sagar-Sandheads
2021-07-26,8.0,29.3,Sagar-Sandheads
2021-07-27,9.8,32.4,Sagar-Sandheads
2021-07-28,52.1,38.1,Sagar-Sandheads
2021-07-29,29.1,36.4,Sagar-Sandheads
2021-07-30,16.1,40.8,Sagar-Sandheads
2021-07-31,1.1,28.3,Sagar-Sandheads
2021-08-01,0.6,22.8,Sagar-Sandheads
2021-08-02,5.5,20.4,Sagar-Sandheads
2021-08-03,26.6,18.0,Sagar-Sandheads
2021-08-04,18.3,21.3,Sagar-Sandheads
2021-08-05,5.6,16.8,Sagar-Sandheads
2021-08-06,6.9,20.7,Sagar-Sandheads
2021-08-07,6.4,20.9,Sagar-Sandheads
2021-08-08,7.6,27.2,Sagar-Sandheads
2021-08-09,5.2,25.4,Sagar-Sandheads
2021-08-10,3.8,25.4,Sagar-Sandheads
2021-08-11,0.8,21.7,Sagar-Sandheads
2021-08-12,5.2,22.3,Sagar-Sandheads
2021-08-13,3.9,21.2,Sagar-Sandheads
2021-08-14,2.1,16.9,Sagar-Sandheads
2021-08-15,1.6,15.5,Sagar-Sandheads
2021-08-16,11.7,17.1,Sagar-Sandheads
2021-08-17,21.1,28.3,Sagar-Sandheads
2021-08-18,32.3,31.4,Sagar-Sandheads
2021-08-19,15.5,26.3,Sagar-Sandheads
2021-08-20,10.7,23.2,Sagar-Sandheads
2021-08-21,3.4,19.6,Sagar-Sandheads
2021-08-22,3.0,26.3,Sagar-Sandheads
2021-08-23,0.1,27.5,Sagar-Sandheads
2021-08-24,0.5,20.2,Sagar-Sandheads
2021-08-25,0.7,21.4,Sagar-Sandheads
2021-08-26,6.7,20.1,Sagar-Sandheads
2021-08-27,15.8,20.1,Sagar-Sandheads
2021-08-28,4.9,22.9,Sagar-Sandheads
2021-08-29,9.2,22.3,Sagar-Sandheads
2021-08-30,7.9,19.1,Sagar-Sandheads
2021-08-31,5.7,20.0,Sagar-Sandheads
2021-09-01,1.4,16.2,Sagar-Sandheads
2021-09-02,0.7,12.8,Sagar-Sandheads
2021-09-03,1.2,13.4,Sagar-Sandheads
2021-09-04,3.5,11.8,Sagar-Sandheads
2021-09-05,6.1,15.4,Sagar-Sandheads
2021-09-06,13.1,25.0,Sagar-Sandheads
2021-09-07,20.6,29.0,Sagar-Sandheads
2021-09-08,23.5,15.8,Sagar-Sandheads
2021-09-09,17.4,11.9,Sagar-Sandheads
2021-09-10,12.1,12.9,Sagar-Sandheads
