date,precipitation_sum_mm,wind_speed_max_kmh,port
2021-12-11,0.0,9.9,Haldia
2021-12-12,0.0,15.0,Haldia
2021-12-13,0.0,11.3,Haldia
2021-12-14,0.0,11.5,Haldia
2021-12-15,0.0,10.3,Haldia
2021-12-16,0.0,11.8,Haldia
2021-12-17,0.0,10.6,Haldia
2021-12-18,0.0,14.6,Haldia
2021-12-19,0.0,16.3,Haldia
2021-12-20,0.0,13.0,Haldia
2021-12-21,0.0,9.8,Haldia
2021-12-22,0.0,10.7,Haldia
2021-12-23,0.0,9.0,Haldia
2021-12-24,0.0,9.6,Haldia
2021-12-25,0.0,10.3,Haldia
2021-12-26,0.0,9.1,Haldia
2021-12-27,0.2,7.8,Haldia
2021-12-28,0.0,8.1,Haldia
2021-12-29,0.0,10.6,Haldia
2021-12-30,1.4,14.3,Haldia
2021-12-31,0.0,19.6,Haldia
2022-01-01,0.0,15.1,Haldia
2022-01-02,0.0,13.1,Haldia
2022-01-03,0.0,13.4,Haldia
2022-01-04,0.0,12.6,Haldia
2022-01-05,0.0,10.8,Haldia
2022-01-06,0.0,9.1,Haldia
2022-01-07,0.0,8.7,Haldia
2022-01-08,0.0,9.2,Haldia
2022-01-09,0.0,10.0,Haldia
2022-01-10,0.0,9.7,Haldia
2022-01-11,1.9,24.5,Haldia
2022-01-12,11.3,11.4,Haldia
2022-01-13,0.0,11.9,Haldia
2022-01-14,5.2,14.7,Haldia
2022-01-15,0.4,14.8,Haldia
2022-01-16,0.0,16.6,Haldia
2022-01-17,0.0,12.4,Haldia
2022-01-18,0.0,13.0,Haldia
2022-01-19,0.0,13.6,Haldia
2022-01-20,0.0,11.0,Haldia
2022-01-21,0.1,11.2,Haldia
2022-01-22,0.8,8.6,Haldia
2022-01-23,2.2,12.1,Haldia
2022-01-24,6.8,14.2,Haldia
2022-01-25,0.0,10.5,Haldia
2022-01-26,1.1,13.6,Haldia
2022-01-27,0.0,15.1,Haldia
2022-01-28,0.0,14.5,Haldia
2022-01-29,0.0,15.3,Haldia
2022-01-30,0.0,11.9,Haldia
2022-01-31,0.0,17.3,Haldia
2022-02-01,0.0,11.9,Haldia
2022-02-02,0.0,13.5,Haldia
2022-02-03,0.0,22.4,Haldia
2022-02-04,5.6,30.6,Haldia
2022-02-05,0.0,17.1,Haldia
2022-02-06,0.0,8.5,Haldia
2022-02-07,0.0,13.7,Haldia
2022-02-08,1.1,13.3,Haldia
2022-02-09,0.0,15.5,Haldia
2022-02-10,0.7,11.8,Haldia
2022-02-11,0.4,17.3,Haldia
2022-02-12,0.0,14.2,Haldia
2022-02-13,0.0,15.2,Haldia
2022-02-14,0.0,12.6,Haldia
2022-02-15,0.0,13.3,Haldia
2022-02-16,0.0,8.8,Haldia
2022-02-17,0.0,10.1,Haldia
2022-02-18,0.0,12.2,Haldia
2022-02-19,0.0,9.7,Haldia
2022-02-20,2.9,23.3,Haldia
2022-02-21,0.0,19.5,Haldia
2022-02-22,0.1,15.9,Haldia
2022-02-23,0.0,14.8,Haldia
2022-02-24,0.0,19.2,Haldia
2022-02-25,0.0,20.1,Haldia
2022-02-26,0.8,9.0,Haldia
2022-02-27,0.0,15.6,Haldia
2022-02-28,0.5,15.3,Haldia
2022-03-01,0.2,16.4,Haldia
2022-03-02,0.0,9.7,Haldia
2022-03-03,0.0,9.4,Haldia
2022-03-04,0.0,11.0,Haldia
2022-03-05,0.0,18.8,Haldia
2022-03-06,0.0,12.0,Haldia
2022-03-07,0.0,14.7,Haldia
2022-03-08,0.0,13.8,Haldia
2022-03-09,0.0,9.5,Haldia
2022-03-10,0.0,9.4,Haldia
